sim_time,n,p,ratio,method,type,num,estimate
1,100,100,145,forward,strong,3,21.181588456668084
1,100,100,145,forward,strong,1,23.44085733530049
1,100,100,145,forward,strong,2,21.055675662217514
1,100,100,145,forward,strong,4,20.831457261117286
1,100,100,145,forward,wai,1,2.4156691487111943
1,100,100,145,forward,null,10,-0.6081969796230035
1,100,100,145,forward,wbc,15,-2.7492530744018566
1,100,100,145,forward,wai,19,0.6430393661247531
1,100,100,145,forward,null,47,-4.100151168310748
1,100,100,145,forward,null,8,1.7381034857258413
1,100,100,145,forward,null,37,3.436262902118739
1,100,100,145,forward,null,41,2.0698025159730866
1,100,100,145,forward,null,42,4.304939890665788
1,100,100,145,forward,wbc,9,-0.8877290848436402
1,100,100,145,forward,null,46,1.723962560871424
1,100,100,145,forward,null,5,1.76497919209797
1,100,100,145,forward,null,12,5.373701491020247
1,100,100,145,forward,null,32,1.8727471005498777
1,100,100,145,forward,wai,17,3.6329846966241246
1,100,100,145,forward,null,19,-0.6470886523916105
1,100,100,145,forward,wbc,3,-3.426442917476957
1,100,100,145,forward,null,40,1.2062938744275669
1,100,100,145,forward,null,45,2.518891607776363
1,100,100,145,forward,null,33,0.9980489873699708
1,100,100,145,forward,wbc,13,-1.8003316219540098
1,100,100,145,forward,null,26,-2.9285858394128175
1,100,100,145,forward,wai,16,1.6193727594379144
1,100,100,145,forward,null,44,-2.9768120471423205
1,100,100,145,forward,wbc,8,-1.9956166090258765
1,100,100,145,forward,wai,3,-0.6552641996502274
1,100,100,145,forward,null,48,3.0210625245117964
1,100,100,145,forward,wbc,10,-2.655219407321138
1,100,100,145,forward,null,14,-0.7135917648431294
1,100,100,145,forward,wai,7,0.7518479969263177
1,100,100,145,forward,null,17,-0.8906971360462045
1,100,100,145,forward,wai,18,1.3616700200034686
1,100,100,145,forward,null,6,-3.3016582763048774
1,100,100,145,forward,null,49,-1.5247527355152026
1,100,100,145,forward,wai,2,2.142680948776403
1,100,100,145,forward,wai,11,1.1400347838426617
1,100,100,145,forward,wai,12,4.205758201074598
1,100,100,145,forward,null,24,1.4677070338840612
1,100,100,145,forward,null,23,1.95836985509422
1,100,100,145,forward,null,54,2.5095572567155418
1,100,100,145,forward,null,25,2.542342891206065
1,100,100,145,forward,null,9,-1.127914854730787
1,100,100,145,forward,null,34,-3.541871641968359
1,100,100,145,forward,wai,4,-1.8033082076168057
1,100,100,145,forward,null,51,2.439324572494258
1,100,100,145,forward,wai,15,-3.467041606483526
1,100,100,145,forward,null,21,-2.9296174689476113
1,100,100,145,forward,null,18,2.0793674746771456
1,100,100,145,forward,null,43,-1.9391573360729368
1,100,100,145,forward,null,58,-1.8020096421274434
1,100,100,145,forward,wai,13,1.058242748039929
1,100,100,145,forward,null,60,-1.5955094346002172
1,100,100,145,forward,null,2,0.7611382537898794
1,100,100,145,forward,wbc,16,1.4206825478000822
1,100,100,145,forward,null,39,-0.5387885079868376
1,100,100,145,forward,wai,9,1.3313527752978
1,100,100,145,forward,null,29,-1.0066324585292192
1,100,100,145,forward,wai,6,1.6534062701314358
1,100,100,145,forward,wbc,6,-2.4491075431692417
1,100,100,145,forward,wbc,14,2.1332211361392712
1,100,100,145,forward,null,16,1.6104112869823188
1,100,100,145,forward,null,52,-1.4431323627711894
1,100,100,145,forward,null,53,-1.429926885479307
1,100,100,145,forward,wbc,4,-1.5539086507360176
1,100,100,145,forward,null,11,-0.5899770764825526
1,100,100,145,forward,null,30,0.8759687718897712
1,100,100,145,forward,null,35,0.741411179720795
1,100,100,145,forward,wbc,1,0
1,100,100,145,forward,wbc,2,0
1,100,100,145,forward,wbc,5,0
1,100,100,145,forward,wbc,7,0
1,100,100,145,forward,wbc,11,0
1,100,100,145,forward,wbc,12,0
1,100,100,145,forward,wai,5,0
1,100,100,145,forward,wai,8,0
