sim_time,n,p,ratio,method,type,num,estimate
1,100,100,334,forward,strong,4,16.853865124691968
1,100,100,334,forward,strong,9,22.044479968933818
1,100,100,334,forward,strong,1,21.910505785570788
1,100,100,334,forward,strong,5,16.23364304104745
1,100,100,334,forward,strong,12,21.50649726400263
1,100,100,334,forward,strong,11,21.654523578451336
1,100,100,334,forward,strong,3,25.13566857492702
1,100,100,334,forward,strong,8,20.350848144620848
1,100,100,334,forward,strong,10,13.55014011236694
1,100,100,334,forward,strong,2,18.639470652531692
1,100,100,334,forward,strong,7,17.908624098118178
1,100,100,334,forward,strong,6,19.15923346099612
1,100,100,334,forward,null,53,-11.665452994474046
1,100,100,334,forward,null,9,1.359608740813816
1,100,100,334,forward,null,5,-1.1344490241437073
1,100,100,334,forward,wai,10,0.9674458854105265
1,100,100,334,forward,wai,1,-4.4951845154308705
1,100,100,334,forward,wai,3,4.7819108524232705
1,100,100,334,forward,null,14,-9.453862824702508
1,100,100,334,forward,null,16,-6.198834837254106
1,100,100,334,forward,null,38,-2.304998121924142
1,100,100,334,forward,null,46,11.1901442847077
1,100,100,334,forward,wbc,6,2.610775599438812
1,100,100,334,forward,null,3,4.798759994623688
1,100,100,334,forward,null,51,2.714530374641461
1,100,100,334,forward,null,23,4.89563044283599
1,100,100,334,forward,null,24,0.5825646131319996
1,100,100,334,forward,null,54,9.315465484740487
1,100,100,334,forward,null,48,2.2947552531947273
1,100,100,334,forward,wai,14,3.413033092164772
1,100,100,334,forward,null,49,2.982817091782582
1,100,100,334,forward,wai,4,-4.981493979679736
1,100,100,334,forward,null,40,2.818058485115864
1,100,100,334,forward,null,50,3.3387144781163776
1,100,100,334,forward,null,18,6.660032277735639
1,100,100,334,forward,null,1,-8.446346192128573
1,100,100,334,forward,null,8,6.4665257574320085
1,100,100,334,forward,wai,2,4.099173825609703
1,100,100,334,forward,null,22,0.3964968965762358
1,100,100,334,forward,wbc,11,5.685750010868466
1,100,100,334,forward,null,12,-2.999885016273197
1,100,100,334,forward,wbc,5,2.4851300004666905
1,100,100,334,forward,null,43,-0.4716682521635314
1,100,100,334,forward,null,60,2.472967574277067
1,100,100,334,forward,null,10,-4.554748665947216
1,100,100,334,forward,wbc,7,4.68679250588439
1,100,100,334,forward,null,45,-7.617144905899645
1,100,100,334,forward,wai,11,3.102926518035092
1,100,100,334,forward,null,2,3.9154891503003726
1,100,100,334,forward,null,11,6.773423424405873
1,100,100,334,forward,null,57,-0.02369002807307583
1,100,100,334,forward,wbc,12,3.5494023313148046
1,100,100,334,forward,wbc,10,-1.4600453371272557
1,100,100,334,forward,wbc,1,1.8612936773948636
1,100,100,334,forward,null,27,-4.3940930755206535
1,100,100,334,forward,null,25,-2.995173568513733
1,100,100,334,forward,null,47,8.252083538853245
1,100,100,334,forward,null,30,1.3357401975341796
1,100,100,334,forward,null,58,-2.225047298836506
1,100,100,334,forward,null,32,-9.965750394467792
1,100,100,334,forward,wai,8,4.15970100107477
1,100,100,334,forward,null,20,-1.4425722538420365
1,100,100,334,forward,null,28,0.5414027517116715
1,100,100,334,forward,null,55,3.2902213407876895
1,100,100,334,forward,null,37,-5.439202913260755
1,100,100,334,forward,null,59,5.349674138082587
1,100,100,334,forward,wbc,2,-4.5398412701894975
1,100,100,334,forward,wai,9,-4.764590617422968
1,100,100,334,forward,wai,5,-6.85399130637832
1,100,100,334,forward,wbc,4,0.6346085214496806
1,100,100,334,forward,wbc,3,5.74447118217091
1,100,100,334,forward,wai,7,3.4966117407807946
1,100,100,334,forward,null,36,5.226841952967497
1,100,100,334,forward,null,6,-3.894723674055055
1,100,100,334,forward,wai,16,1.3565857194627131
1,100,100,334,forward,wai,13,-2.1768955219101067
1,100,100,334,forward,wai,6,-3.8023479985572943
1,100,100,334,forward,wai,12,-1.5268539508836958
1,100,100,334,forward,null,44,-0.8400321809216107
1,100,100,334,forward,null,31,-2.2011339650746797
1,100,100,334,forward,null,33,2.8896733924845166
1,100,100,334,forward,null,4,-8.560911933319268
1,100,100,334,forward,null,34,-3.350781111536658
1,100,100,334,forward,null,52,14.013583389561578
1,100,100,334,forward,null,35,-7.408308823477355
1,100,100,334,forward,null,26,0.12419015198752016
1,100,100,334,forward,wbc,9,-9.78609474725769
1,100,100,334,forward,null,13,3.4098928835883147
1,100,100,334,forward,null,15,-6.866426965503251
1,100,100,334,forward,null,42,7.833045028512476
1,100,100,334,forward,null,17,-3.790356923759392
1,100,100,334,forward,null,19,-13.781689740928943
1,100,100,334,forward,null,21,-8.230471007470653
1,100,100,334,forward,null,39,1.267764695465024
1,100,100,334,forward,null,7,-0.2896424654728167
